#     time          Mx           My           Mz      
#     (ns)         (1)          (1)          (1)     
  1.6852e-11       389049       254195       703107
 1.70226e-11       386177       255627       703950
 1.71931e-11       383301       257033       704791
 1.73637e-11       380419       258413       705630
 1.75342e-11       377533       259767       706466
 1.77048e-11       374642       261095       707299
 1.78754e-11       371747       262397       708129
 1.80459e-11       368848       263674       708957
 1.82165e-11       365945       264924       709781
 1.83871e-11       363039       266149       710603
 1.85576e-11       360130       267348       711422
 1.87282e-11       357218       268521       712237
 1.88987e-11       354303       269669       713050
 1.90693e-11       351386       270790       713859
 1.92399e-11       348467       271886       714665
 1.94104e-11       345545       272956       715468
  1.9581e-11       342623       274000       716268
 1.97515e-11       339699       275019       717064
 1.99221e-11       336774       276012       717856
 2.00927e-11       333848       276979       718646
 2.02632e-11       330921       277921       719431
 2.04338e-11       327995       278837       720213
 2.06044e-11       325068       279728       720992
 2.07749e-11       322142       280593       721767
 2.09455e-11       319216       281433       722538
  2.1116e-11       316291       282248       723305
 2.12866e-11       313368       283037       724069
 2.14572e-11       310445       283801       724829
 2.16277e-11       307525       284540       725585
 2.17983e-11       304606       285254       726337
 2.19689e-11       301689       285943       727085
 2.21394e-11       298775       286607       727830
   2.231e-11       295863       287246       728570
 2.24805e-11       292955       287860       729306
 2.26511e-11       290049       288450       730038
 2.28217e-11       287148       289014       730766
 2.29922e-11       284249       289555       731490
 2.31628e-11       281355       290071       732210
 2.33334e-11       278466       290562       732926
 2.35039e-11       275580       291030       733637
 2.36745e-11       272700       291473       734345
  2.3845e-11       269825       291892       735048
 2.40156e-11       266954       292287       735747
 2.41862e-11       264090       292658       736441
 2.43567e-11       261231       293006       737132
 2.45273e-11       258379       293330       737818
 2.46979e-11       255532       293630       738500
 2.48684e-11       252693       293907       739178
  2.5039e-11       249860       294161       739851
 2.52095e-11       247034       294392       740520
 2.53801e-11       244215       294600       741185
 2.55507e-11       241404       294785       741846
 2.57212e-11       238601       294947       742502
 2.58918e-11       235806       295086       743154
 2.60624e-11       233019       295203       743801
 2.62329e-11       230240       295298       744445
 2.64035e-11       227470       295371       745084
  2.6574e-11       224709       295421       745719
 2.67446e-11       221958       295450       746349
 2.69152e-11       219215       295457       746975
 2.70857e-11       216483       295443       747597
 2.72563e-11       213760       295407       748215
 2.74269e-11       211047       295349       748829
 2.75974e-11       208344       295271       749438
  2.7768e-11       205652       295172       750043
 2.79385e-11       202971       295052       750644
 2.81091e-11       200300       294911       751241
 2.82797e-11       197641       294750       751834
 2.84502e-11       194993       294569       752422
 2.86208e-11       192356       294368       753006
 2.87913e-11       189731       294147       753587
 2.89619e-11       187118       293906       754163
 2.91325e-11       184516       293645       754735
  2.9303e-11       181928       293366       755303
 2.94736e-11       179351       293067       755867
 2.96442e-11       176787       292749       756428
 2.98147e-11       174236       292412       756984
 2.99853e-11       171698       292057       757536
 3.01558e-11       169173       291683       758084
 3.03264e-11       166661       291291       758629
  3.0497e-11       164163       290881       759169
 3.06675e-11       161678       290453       759706
 3.09244e-11       157962       289775       760507
 3.11813e-11       154278       289058       761300
 3.14381e-11       150626       288302       762085
  3.1695e-11       147007       287509       762861
 3.19519e-11       143421       286678       763628
 3.22087e-11       139869       285810       764388
 3.24656e-11       136350       284907       765140
 3.27225e-11       132867       283968       765884
 3.29793e-11       129418       282995       766620
 3.32362e-11       126004       281988       767348
 3.34931e-11       122626       280948       768069
 3.37499e-11       119284       279875       768783
 3.40068e-11       115979       278771       769489
 3.42637e-11       112710       277636       770187
 3.45205e-11       109478       276471       770879
 3.47774e-11       106283       275276       771564
 3.50343e-11       103126       274053       772241
 3.52911e-11       100007       272801       772912
  3.5548e-11      96925.5       271523       773576
 3.58049e-11      93882.4       270217       774234
 3.60617e-11      90877.7       268886       774885
 3.63186e-11      87911.6       267530       775529
 3.65755e-11      84984.3       266149       776168
 3.68324e-11        82096       264745       776800
 3.70892e-11      79246.7       263318       777426
 3.73461e-11      76436.6       261868       778045
  3.7603e-11      73665.8       260397       778659
 3.78598e-11      70934.4       258905       779268
 3.81167e-11      68242.5       257393       779870
 3.83736e-11      65590.2       255861       780467
 3.86304e-11      62977.4       254311       781058
 3.88873e-11      60404.3       252743       781644
 3.91442e-11      57870.8       251158       782224
  3.9401e-11      55376.9       249555       782799
 3.96579e-11      52922.7       247937       783369
 3.99148e-11      50508.2       246304       783933
 4.01716e-11      48133.2       244656       784493
 4.04285e-11      45797.8       242994       785047
 4.06854e-11      43501.9       241319       785597
 4.09422e-11      41245.4       239632       786142
 4.11991e-11      39028.3       237932       786682
  4.1456e-11      36850.4       236221       787217
 4.17128e-11      34711.6       234500       787747
 4.19697e-11      32611.9       232768       788273
 4.22266e-11      30551.1       231027       788795
 4.24834e-11        28529       229277       789311
 4.27403e-11      26545.6       227520       789824
 4.29972e-11      24600.6       225754       790332
  4.3254e-11      22693.9       223982       790836
 4.35109e-11      20825.3       222203       791335
 4.37678e-11      18994.6       220419       791830
 4.40247e-11      17201.6       218629       792322
 4.42815e-11      15446.1       216835       792809
 4.45384e-11        13728       215037       793292
 4.47953e-11      12046.9       213236       793770
 4.50521e-11      10402.6       211431       794245
  4.5309e-11         8795       209624       794716
 4.55658e-11      7223.69       207815       795183
 4.58227e-11      5688.47       206005       795647
 4.60796e-11      4189.09       204195       796106
 4.63365e-11      2725.27       202383       796562
 4.65933e-11      1296.74       200573       797014
 4.68502e-11     -96.7794       198763       797462
 4.71071e-11     -1455.59       196954       797906
 4.73639e-11     -2780.01       195146       798347
 4.76208e-11     -4070.33       193342       798784
 4.78777e-11     -5326.85       191539       799218
 4.81345e-11     -6549.87       189740       799648
 4.83914e-11     -7739.73       187944       800075
 4.86483e-11     -8896.74       186153       800498
 4.89051e-11     -10021.2       184365       800918
  4.9162e-11     -11113.5       182583       801334
 4.94189e-11       -12174       180806       801747
 4.96757e-11       -13203       179035       802156
 4.99326e-11     -14200.8       177269       802563
 5.01895e-11     -15167.9       175510       802965
 5.04463e-11     -16104.5       173758       803365
 5.07032e-11       -17011       172014       803761
 5.09601e-11     -17887.8       170277       804154
 5.12169e-11     -18735.3       168547       804544
 5.14738e-11     -19553.8       166827       804930
 5.17307e-11     -20343.6       165114       805314
 5.19875e-11     -21105.2       163411       805694
 5.22444e-11     -21838.9       161717       806071
 5.25013e-11     -22545.2       160033       806445
 5.27581e-11     -23224.3       158359       806816
  5.3015e-11     -23876.7       156695       807184
 5.32719e-11     -24502.7       155041       807548
 5.35288e-11     -25102.8       153399       807910
 5.37856e-11     -25677.4       151767       808269
 5.40425e-11     -26226.7       150147       808624
 5.42994e-11     -26751.3       148539       808977
 5.45562e-11     -27251.5       146943       809327
 5.48131e-11     -27727.6       145358       809674
   5.507e-11     -28180.2       143786       810017
 5.53268e-11     -28609.5       142227       810358
 5.55837e-11       -29016       140681       810697
 5.58406e-11     -29400.1       139147       811032
 5.60974e-11     -29762.1       137627       811364
 5.63543e-11     -30102.5       136121       811694
 5.66112e-11     -30421.7       134628       812021
  5.6868e-11       -30720       133149       812345
 5.71249e-11     -30997.8       131684       812666
 5.73818e-11     -31255.5       130233       812984
 5.76386e-11     -31493.5       128797       813300
 5.78955e-11     -31712.3       127375       813613
 5.81524e-11     -31912.2       125968       813924
 5.84092e-11     -32093.5       124576       814231
 5.86661e-11     -32256.8       123199       814537
  5.8923e-11     -32402.3       121837       814839
 5.91798e-11     -32530.4       120490       815139
 5.94367e-11     -32641.6       119159       815436
 5.96936e-11     -32736.3       117843       815731
 5.99504e-11     -32814.7       116543       816023
 6.02073e-11     -32877.4       115258       816313
 6.04642e-11     -32924.5       113989       816600
  6.0721e-11     -32956.7       112736       816884
 6.09779e-11     -32974.2       111499       817166
 6.12348e-11     -32977.3       110278       817446
 6.14917e-11     -32966.5       109072       817723
 6.17485e-11     -32942.2       107883       817998
 6.20054e-11     -32904.7       106711       818270
 6.22623e-11     -32854.3       105554       818540
 6.25191e-11     -32791.4       104414       818808
  6.2776e-11     -32716.5       103290       819073
 6.30329e-11     -32629.8       102182       819336
 6.32897e-11     -32531.6       101091       819596
 6.35466e-11     -32422.5       100016       819855
 6.38035e-11     -32302.6      98957.4       820111
 6.40603e-11     -32172.4      97915.1       820364
 6.43172e-11     -32032.1      96889.3       820616
 6.45741e-11     -31882.2      95879.9       820865
 6.48309e-11       -31723      94886.9       821112
 6.50878e-11     -31554.7      93910.2       821357
 6.53447e-11     -31377.8      92949.8       821600
 6.56015e-11     -31192.5      92005.8       821841
 6.58584e-11     -30999.3        91078       822079
 6.61153e-11     -30798.3      90166.5       822315
 6.63721e-11       -30590      89271.2       822549
  6.6629e-11     -30374.5        88392       822782
 6.68859e-11     -30152.4        87529       823012
 6.71427e-11     -29923.8      86682.1       823240
 6.73996e-11       -29689      85851.1       823465
 6.76565e-11     -29448.5        85036       823689
 6.79133e-11     -29202.3      84236.9       823911
 6.81702e-11     -28950.9      83453.5       824131
 6.84271e-11     -28694.6      82685.8       824349
 6.86839e-11     -28433.5      81933.8       824565
 6.89408e-11     -28168.1      81197.4       824780
 6.91977e-11     -27898.6      80476.5       824992
 6.94546e-11     -27625.2      79770.9       825202
 6.97114e-11     -27348.3      79080.6       825410
 6.99683e-11       -27068      78405.5       825617
 7.02252e-11     -26784.8      77745.5       825822
  7.0482e-11     -26498.7      77100.5       826024
 7.07389e-11     -26210.1      76470.5       826226
 7.09958e-11     -25919.3      75855.1       826425
 7.12526e-11     -25626.4      75254.4       826622
 7.15095e-11     -25331.8      74668.3       826818
 7.17664e-11     -25035.6      74096.6       827012
 7.20232e-11     -24738.2      73539.1       827204
 7.22801e-11     -24439.6      72995.9       827394
  7.2537e-11     -24140.3      72466.7       827583
 7.27938e-11     -23840.3      71951.4       827770
 7.30507e-11     -23539.9      71449.9       827955
 7.33076e-11     -23239.4        70962       828139
 7.35644e-11     -22938.8      70487.6       828321
 7.38213e-11     -22638.6      70026.6       828501
 7.40782e-11     -22338.8      69578.8       828680
  7.4335e-11     -22039.6      69144.1       828857
 7.45919e-11     -21741.3      68722.3       829033
 7.48488e-11       -21444      68313.3       829207
 7.51056e-11       -21148      67916.9       829379
 7.53625e-11     -20853.4        67533       829550
 7.56194e-11     -20560.4      67161.4       829719
 7.58762e-11     -20269.2      66801.9       829887
 7.61331e-11     -19979.9      66454.5       830053
   7.639e-11     -19692.7      66118.9       830218
 7.66468e-11     -19407.8        65795       830382
 7.69037e-11     -19125.4      65482.6       830543
 7.71606e-11     -18845.5      65181.6       830704
 7.74174e-11     -18568.5      64891.7       830863
 7.76743e-11     -18294.3      64612.9       831020
 7.79312e-11     -18023.3        64345       831176
 7.81881e-11     -17755.4      64087.7       831331
 7.84449e-11     -17490.9        63841       831484
 7.87018e-11     -17229.8      63604.6       831636
 7.89587e-11     -16972.3      63378.4       831786
 7.92155e-11     -16718.6      63162.2       831936
 7.94724e-11     -16468.8      62955.8       832083
 7.97293e-11     -16222.9      62759.1       832230
 7.99861e-11     -15981.2        62572       832375
  8.0243e-11     -15743.7      62394.1       832519
 8.04999e-11     -15510.5      62225.4       832662
 8.07567e-11     -15281.7      62065.6       832803
 8.10136e-11     -15057.4      61914.7       832943
 8.12705e-11     -14837.8      61772.3       833082
 8.15273e-11       -14623      61638.5       833219
 8.17842e-11       -14413      61512.9       833356
 8.20411e-11     -14207.9      61395.4       833491
 8.22979e-11     -14007.7      61285.8       833625
 8.25548e-11     -13812.7        61184       833757
 8.28117e-11     -13622.9      61089.7       833889
 8.30685e-11     -13438.2      61002.9       834019
 8.33254e-11     -13258.9      60923.3       834149
 8.35823e-11       -13085      60850.7       834277
 8.38391e-11     -12916.6        60785       834404
  8.4096e-11     -12753.6        60726       834529
 8.43529e-11     -12596.2      60673.6       834654
 8.46097e-11     -12444.5      60627.5       834778
 8.48666e-11     -12298.4      60587.6       834900
 8.51235e-11     -12158.1      60553.7       835022
 8.53803e-11     -12023.5      60525.7       835142
 8.56372e-11     -11894.8      60503.3       835261
 8.58941e-11       -11772      60486.5       835380
 8.61509e-11     -11655.1        60475       835497
 8.64078e-11     -11544.1      60468.6       835613
 8.66647e-11     -11439.1      60467.3       835728
 8.69216e-11     -11340.1      60470.8       835843
 8.71784e-11     -11247.1        60479       835956
 8.74353e-11     -11160.2      60491.7       836068
 8.76921e-11     -11079.4      60508.8       836179
  8.7949e-11     -11004.7        60530       836290
 8.82059e-11     -10936.1      60555.3       836399
 8.84628e-11     -10873.6      60584.4       836507
