# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-715.3613129625162 1430.722625925032 -2146.083938887548 -280811.9329527001 191365.0024462808 -357698.082955589 
-705.2858015123397 1410.571603024679 -2115.857404537019 -282071.0530403921 191205.182851943 -356791.7088263673 
-695.2102900621636 1390.420580124327 -2085.63087018649 -283341.8196715583 191045.27921684 -355869.2722253072 
-685.1347786119871 1370.269557223974 -2055.404335835961 -284624.1211311488 190885.0950507196 -354930.7179687307 
-675.0592671618108 1350.118534323622 -2025.177801485433 -285917.8399222084 190724.4104163498 -353976.0055223429 
-664.9837557116346 1329.967511423269 -1994.951267134904 -287222.8529083169 190563.0056543034 -353005.0963416895 
-654.9082442614583 1309.816488522917 -1964.724732784375 -288539.0321003774 190400.64545565 -352017.9619915002 
-644.8327328112822 1289.665465622564 -1934.498198433846 -289866.2452367557 190237.0828227413 -351014.5817361982 
-634.7572213611057 1269.514442722211 -1904.271664083317 -291204.3564355189 190072.0590503588 -349994.9421939295 
-624.6817099109296 1249.363419821859 -1874.045129732789 -292553.2268769667 189905.3037201586 -348959.0369410548 
-614.6061984607531 1229.212396921506 -1843.818595382259 -293912.7160627854 189736.5308721913 -347906.8676947649 
-604.530687010577 1209.061374021154 -1813.592061031731 -295282.6804201075 189565.4543448342 -346838.4372628754 
-594.4551755604007 1188.910351120801 -1783.365526681202 -296662.9771538159 189391.7647394437 -345753.758960208 
-584.3796641102244 1168.759328220449 -1753.138992330673 -298053.4637732355 189215.1410433967 -344652.8507537753 
-574.3041526600481 1148.608305320096 -1722.912457980144 -299453.9964103418 189035.261834328 -343535.7306265273 
-564.2286412098719 1128.457282419744 -1692.685923629615 -300864.4358424376 188851.7789091577 -342402.4258793425 
-554.1531297596955 1108.306259519391 -1662.459389279087 -302284.6429291512 188664.3435628647 -341252.9626496875 
-544.0776183095193 1088.155236619039 -1632.232854928558 -303714.4825193746 188472.5914970751 -340087.370777518 
-534.002106859343 1068.004213718686 -1602.006320578029 -305153.8235062715 188276.1465143806 -338905.6816478575 
-523.9265954091667 1047.853190818333 -1571.7797862275 -306602.5408332063 188074.6168179149 -337707.9283395881 
-513.8510839589904 1027.702167917981 -1541.553251876971 -308060.5128777573 187867.6057157014 -336494.1418927572 
-503.7755725088142 1007.551145017628 -1511.326717526442 -309527.6255370708 187654.700533786 -335264.3536031804 
-493.7000610586379 987.4001221172757 -1481.100183175913 -311003.7719886326 187435.4760642455 -334018.5930774099 
-483.6245496084616 967.2490992169231 -1450.873648825385 -312488.8534896318 187209.4943016774 -332756.8873638014 
-473.5490381582853 947.0980763165705 -1420.647114474856 -313982.7817566654 186976.3007296249 -331479.260476144 
-463.473526708109 926.947053416218 -1390.420580124327 -315485.4751619881 186735.4342321585 -330185.7310120202 
-453.3980152579327 906.7960305158654 -1360.194045773798 -316996.8657057062 186486.4130013017 -328876.3130702277 
-443.3225038077564 886.6450076155128 -1329.967511423269 -318516.8932878193 186228.7475264994 -327551.0138665232 
-433.2469923575803 866.4939847151607 -1299.740977072741 -320045.5133384621 185961.9267403635 -326209.8336882741 
-423.1714809074039 846.3429618148077 -1269.514442722211 -321582.6904168836 185685.430445688 -324852.7644094137 
