# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-795.9654045639263 1591.930809127853 -2387.896213691779 -483539.4415672753 593223.6180435966 -1201376.153019557 
-785.8898931137501 1571.7797862275 -2357.66967934125 -485298.9671784701 590081.2694775758 -1202213.92500139 
-775.8143816635737 1551.628763327147 -2327.443144990721 -487117.5425986949 586823.0885632312 -1203072.930466695 
-765.7388702133975 1531.477740426795 -2297.216610640192 -488998.0585592588 583442.8120456858 -1203953.77710172 
-755.6633587632211 1511.326717526442 -2266.990076289664 -490943.5533045608 579933.7291623468 -1204857.091462945 
-745.5878473130449 1491.17569462609 -2236.763541939134 -492957.2821160874 576288.6668690493 -1205783.481412403 
-735.5123358628686 1471.024671725737 -2206.537007588606 -495042.687074449 572499.9343627382 -1206733.55664321 
-725.4368244126923 1450.873648825385 -2176.310473238077 -497203.4250478969 568559.2852928053 -1207707.914533963 
-715.3613129625162 1430.722625925032 -2146.083938887548 -499443.3681151083 564457.8629972091 -1208707.14258933 
-705.2858015123397 1410.571603024679 -2115.857404537019 -501766.6609285699 560186.1727545928 -1209731.781609111 
-695.2102900621636 1390.420580124327 -2085.63087018649 -504177.6805114731 555733.9952962695 -1210782.35308668 
-685.1347786119871 1370.269557223974 -2055.404335835961 -506681.1083279963 551090.3604431415 -1211859.308125394 
-675.0592671618108 1350.118534323622 -2025.177801485433 -509281.8922290913 546243.4461545049 -1212963.051943796 
-664.9837557116346 1329.967511423269 -1994.951267134904 -511985.3050321342 541180.5355557329 -1214093.896272756 
-654.9082442614583 1309.816488522917 -1964.724732784375 -514796.960908413 535887.9451271297 -1215252.03678368 
-644.8327328112822 1289.665465622564 -1934.498198433846 -517722.7933869477 530350.9084354729 -1216437.559733046 
-634.7572213611057 1269.514442722211 -1904.271664083317 -520769.1111850689 524553.5233129397 -1217650.379877366 
-624.6817099109296 1249.363419821859 -1874.045129732789 -523942.5999244031 518478.6496065111 -1218890.214698053 
-614.6061984607531 1229.212396921506 -1843.818595382259 -527250.323838808 512107.7962920141 -1220156.553311422 
-604.530687010577 1209.061374021154 -1813.592061031731 -530699.7697639964 505421.0687300678 -1221448.570860105 
-594.4551755604007 1188.910351120801 -1783.365526681202 -534298.807317046 498397.0018758367 -1222765.115065343 
-584.3796641102244 1168.759328220449 -1753.138992330673 -538055.7134522744 491012.4841363806 -1224104.612867537 
